ཀུམ ཀུམ
དྲལ 0
དྲས འདྲ
དྲི 0
དྲིལ 0
དྲིས 0
དྲུད 0
དྲུབ དྲུབས
དྲུབས 0
དྲུམས གྲུམས
དྲུལ 0
དྲུས 0
དྲེད དྲེད
དྲོ དྲོ
དྲོངས འདྲེན
དྲོན དྲན
དྲོལ དྲལ
དྲོས 0
གདག འདོག
གདགས འདོགས
གདང གདང
གདངས 0
གདབ འདེབས
གདམ འདེམ
གདམས 0
གདལ 0
གདས གདས
གདིང འདིང
གདུ 0
གདུག གདུག
གདུང གདུང
གདུངས གདུང
གདུད འདུད
གདུལ འདུལ
གདུས 0
གདེག འདེགས
གདེང 0
གདེངས 0
གདོངས གདང
གདོད 0
གདོན འདོན
གདོམས འདེམ
གདོལ གདལ
བདམ 0
བདམས བདམ
བདའ 0
བདར བདར
བདལ 0
བདས འདེད
བདུག གདུག
བདུགས གདུག
བདུང 0
བདུངས 0
བདོ བདོ
བདོད 0
བདོར བདར
བདོལ བདལ
མདུད མདུད
འདག འདག
འདང འདང
འདངས འདང
འདམ འདམ
འདའ འདའ
འདར འདར
འདལ འདལ
འདས འདའ
འདིང འདིང
འདུ འདུ
འདུག འདུག
འདུད འདུད
འདུམ འདུམ
འདུམས འདུམ
འདུར འདུར
འདུལ འདུལ
འདུས འདུ
འདེགས འདེགས
འདེད 0
འདེབས འདེབས
འདེམ འདེམ
འདོག འདོག
འདོགས འདོགས
འདོང 0
འདོད 0
འདོན འདོན
འདོམ 0
འདོམས 0
འདོར 0
འདོས འདའ
འདྲ འདྲ
འདྲད འདྲད
འདྲལ 0
འདྲི 0
འདྲིལ 0
འདྲིས འདྲིས
འདྲུ 0
འདྲུད 0
འདྲུབ 0
འདྲུབས འདྲུབ
འདྲུལ 0
འདྲེ འདྲེ
འདྲེགས འདྲེགས
འདྲེད འདྲེད
འདྲེན 0
འདྲེས འདྲེ
འདྲོག འདྲོག
འདྲོགས འདྲོག
འདྲོང 0
འདྲོངས 0
འདྲོད འདྲད
རྡབ རྡབ
རྡར 0
རྡལ 0
རྡིབ 0
རྡིབས བརྡིབས
རྡུགས རྡུགས
རྡུང རྡུང
རྡུངས རྡུང
རྡེག རྡེག
རྡེགས རྡེག
རྡེབ རྡེབ
རྡེབས རྡེབ
རྡོབས རྡེབ
རྡོར 0
རྡོལ 0
རྡོས རྡོས
ལྡག 0
ལྡང ལྡང
ལྡངས ལྡང
ལྡད 0
ལྡབ 0
ལྡར ལྡར
ལྡིག ལྡིག
ལྡིང ལྡིང
ལྡིངས ལྡིང
ལྡུག 0
ལྡུགས 0
ལྡུད 0
ལྡུར ལྡུར
ལྡེ 0
ལྡེག ལྡེག
ལྡེགས ལྡེག
ལྡེང ལྡེང
ལྡེངས ལྡེང
ལྡེབ བལྡབས
ལྡེམ ལྡེམ
ལྡེས 0
ལྡོག ལྡོག
ལྡོགས 0
ལྡོང ལྡོང
ལྡོངས 0
ལྡོད 0
ལྡོན ལྡོན
ལྡོབ ལྡོབ
ལྡོབས 0
ལྡོམ ལྡོམ
སྡང སྡང
སྡིག སྡིག
སྡིགས སྡིག
སྡུག སྡུག
སྡུད སྡུད
སྡུམ སྡུམ
སྡུམས སྡུམ
སྡུར 0
སྡུས སྡུད
སྡེབ སྡེབ
སྡེབས སྡེབ
སྡོ སྡོ
སྡོག སྡོག
སྡོགས སྡོག
སྡོང སྡོང
སྡོངས སྡོང
སྡོད 0
སྡོམ སྡོམ
སྡོམས སྡོམ
སྡོས སྡོ
བརྡབ 0
བརྡབས 0
བརྡར 0
བརྡལ 0
བརྡིབ 0
བརྡིབས 0
བརྡུང རྡུང
བརྡུངས རྡུང
བརྡེག རྡེག
བརྡེགས རྡེག
བརྡོལ 0
བརྡོས བརྡོས
བལྡག 0
བལྡགས 0
བལྡད 0
བལྡབ 0
བལྡབས 0
བལྡེག ལྡེག
བལྡེགས ལྡེག
བསྡད 0
བསྡམ སྡོམ
བསྡམས སྡོམ
བསྡིག སྡིག
བསྡིགས སྡིག
བསྡུ སྡུད
བསྡུམ སྡུམ
བསྡུམས སྡུམ
བསྡུར 0
བསྡུས སྡུད
བསྡེབ སྡེབ
བསྡེབས སྡེབ
བསྡོ སྡོ
བསྡོག སྡོག
བསྡོགས སྡོག
བསྡོང སྡོང
བསྡོངས སྡོང
བསྡོམ སྡོམ
བསྡོམས སྡོམ
བསྡོས སྡོ
ན ན
ནབ ནབ
ནུ ནུས
ནུད ནུད
ནུབ ནུབ
ནུར ནུར
ནུས ནུས
ནོགས ནོགས
ནོངས ནོངས
ནོད ནོད
ནོན 0
ནོབས ནབ
ནོམ ནོམ
ནོམས ནོམ
ནོར ནོར
ནོལ 0
ནོས 0
གནག གནག
གནང གནང
གནན གནོན
གནར གནར
གནས གནས
གནོང 0
གནོངས 0
གནོད གནོད
གནོན 0
གནོར གནར
གནོས ནོད
མནག མནག
མནགས མནག
མནན 0
མནབ ནབ
མནབས ནབ
མནམ ནོམ
མནམས ནོམ
མནར མནར
མནལ མནལ
མནོ 0
མནོགས མནག
མནོང 0
མནོད ནོད
མནོལ 0
མནོས 0
རྣག རྣག
རྣགས རྣག
རྣབ རྣབ
རྣུ རྣུ
རྣུར རྣུ
རྣོག རྣོག
རྣོགས རྣོག
རྣོང རྣོང
རྣོན 0
རྣོབས རྣབ
སྣང སྣང
སྣད 0
སྣར 0
སྣུད 0
སྣུན 0
སྣུབ སྣུབ
སྣུབས སྣུབ
སྣུར 0
སྣེམ སྣེམ
སྣེམས སྣེམ
སྣོ སྣོ
སྣོག 0
སྣོགས 0
སྣོད 0
སྣོན 0
སྣོམ སྣོམ
སྣོམས 0
སྣོར 0
སྣོལ 0
སྣོས སྣོ
བརྣག རྣོག
བརྣགས རྣོག
བརྣང རྣོང
བརྣངས རྣོང
བརྣན 0
བརྣབ རྣབ
བརྣབས རྣབ
བརྣུ རྣུ
བརྣུར རྣུ
བརྣོག རྣོག
བརྣོགས རྣོག
བསྣད 0
བསྣན 0
བསྣམ 0
བསྣམས 0
བསྣར 0
བསྣུད 0
བསྣུན 0
བསྣུབ སྣུབ
བསྣུབས སྣུབ
བསྣུར 0
བསྣེམ སྣེམ
བསྣེམས སྣེམ
བསྣོ སྣོ
བསྣོག 0
བསྣོགས 0
བསྣོར 0
བསྣོལ 0
བསྣོས སྣོ
དཔག 0
དཔགས 0
དཔར དཔར
དཔུར དཔུར
དཔོག 0
དཔོགས 0
དཔོད དཔོད
དཔོར དཔར
དཔྱ དཔྱ
དཔྱང དཔྱོང
དཔྱངས དཔྱོང
དཔྱད 0
དཔྱས དཔྱ
དཔྱོང དཔྱོང
དཔྱོངས དཔྱོང
དཔྱོད 0
དཔྱོས དཔྱ
དཔྲུལ དཔྲུལ
དཔྲེ 0
དཔྲེས 0
སྤ སྤ
སྤག 0
སྤགས 0
སྤང སྤོང
སྤངས སྤོང
སྤར 0
སྤུང 0
སྤུངས 0
སྤུད སྤུད
སྤུར སྤུར
སྤེལ སྤེལ
སྤོ 0
སྤོག སྤོག
སྤོགས སྤོག
སྤོང སྤོང
སྤོངས སྤོང
སྤོར 0
སྤོས 0
སྤྱང སྤྱང
སྤྱངས སྤྱང
སྤྱད 0
སྤྱིང 0
སྤྱིངས 0
སྤྱིལ སྤྱིལ
སྤྱུག 0
སྤྱུགས 0
སྤྱོ 0
སྤྱོང སྤྱང
སྤྱོད 0
སྤྱོན སྤྱོན
སྤྱོམ 0
སྤྱོམས 0
སྤྱོས 0
སྤྲ 0
སྤྲང སྤྲང
སྤྲད 0
སྤྲས 0
སྤྲིང 0
སྤྲིངས 0
སྤྲིབས སྤྲིབས
སྤྲུག 0
སྤྲུགས སྤྲུགས
སྤྲུལ སྤྲུལ
སྤྲོ 0
སྤྲོད 0
སྤྲོས 0
ཕངས ཕངས
ཕན ཕན
ཕབ འབེབས
ཕམ འཕམ
ཕིག འབིག
ཕིགས འབིག
ཕུག 0
ཕུགས འབིག
ཕུང 0
ཕུད 0
ཕུབ 0
ཕུབས 0
ཕུར 0
ཕུལ 0
ཕེབས ཕེབས
ཕོ འབོ
ཕོག 0
ཕོགས འབོགས
ཕོངས འཕོངས
ཕོབ འབེབས
ཕོས འབོ
ཕྱག འཕྱག
ཕྱགས འཕྱག
ཕྱར 0
ཕྱི འབྱིད
ཕྱིད འཕྱིད
ཕྱིན ཕྱིན
ཕྱིས 0
ཕྱུག ཕྱུག
ཕྱུང འབྱིན
ཕྱུངས འབྱིན
ཕྱེ འབྱེད
ཕྱེད ཕྱེད
ཕྱེས འབྱེད
ཕྱོགས 0
ཕྱོར 0
ཕྲད འཕྲད
ཕྲལ 0
ཕྲས 0
ཕྲི འཕྲི
ཕྲིས 0
ཕྲུགས འཕྲུག
ཕྲུལ འབྲུལ
ཕྲོག དབྲོག
ཕྲོགས 0
ཕྲོད འབྲད
ཕྲོབས འབྲབ
ཕྲོལ 0
ཕྲོས འབྲོས
འཕག འཕག
འཕགས 0
འཕང 0
འཕངས འཕེན
འཕམ འཕམ
འཕར འཕར
འཕུང 0
འཕུད 0
འཕུར 0
འཕུལ འཕུལ
འཕེན འཕེན
འཕེལ འཕེལ
འཕོ འཕོ
འཕོག འཕོག
འཕོགས འཕག
འཕོངས 0
འཕོས འཕོ
འཕྱ འཕྱ
འཕྱག འཕྱག
འཕྱགས 0
འཕྱང འཕྱང
འཕྱངས འཕྱང
འཕྱན འཕྱན
འཕྱར 0
འཕྱས འཕྱ
འཕྱི འཕྱི
འཕྱིང འཕྱིང
འཕྱིངས འཕྱིང
འཕྱིད འཕྱིད
འཕྱིས འཕྱི
འཕྱུག འཕྱུག
འཕྱུགས འཕྱུག
འཕྱུར འཕྱུར
འཕྱེ འཕྱེ
འཕྱེས འཕྱེ
འཕྱོ འཕྱོ
འཕྱོགས འཕྱག
འཕྱོང 0
འཕྱོངས 0
འཕྱོན འཕྱན
འཕྱོས 0
འཕྲ 0
འཕྲད འཕྲད
འཕྲལ 0
འཕྲས འཕྲ
འཕྲི འཕྲི
འཕྲིགས འཕྲིགས
འཕྲུ 0
འཕྲུག 0
འཕྲུགས 0
འཕྲུལ འཕྲུལ
འཕྲེང འཕྲེང
འཕྲོ འཕྲོ
འཕྲོག 0
འཕྲོད འཕྲོད
འཕྲོས འཕྲོ
བང བང
བངས བང འདས་པ།
བད བད
བབས འབབ
བལ འབལ
བུད 0
བུབ བུབ
བུས 0
བེམ བེམ
བོག 0
བོབས འབབ
བོར 0
བོལ འབལ
བོས 0
བྱ བྱེད
བྱང 0
བྱབ བྱབ
བྱབས བྱབ
བྱམས བྱམས
བྱས བྱེད
བྱི འབྱི
བྱིང འབྱིང
བྱིངས འབྱིང
བྱིད 0
བྱིན 0
བྱིབས 0
བྱིལ 0
བྱུག 0
བྱུགས 0
བྱུང འབྱུང
བྱེ འབྱེ
བྱེད བྱེད
བྱེར 0
བྱེས འབྱེ
བྱོ 0
བྱོང འབྱང
བྱོན 0
བྱོབས བྱབ
བྱོལ 0
བྱོས བྱེད
བྲད འབྲད
བྲན 0
བྲབ འབྲབ
བྲབས འབྲབ
བྲལ འབྲལ
བྲི འབྲི
བྲིད 0
བྲིན བྲིན
བྲིམ འབྲིམ
བྲིམས འབྲིམ
བྲུ 0
བྲུག བྲུག
བྲུབ 0
བྲུབས འབྲུབ
བྲུལ འབྲུལ
བྲུས 0
བྲེ 0
བྲེག འབྲེག
བྲེགས འབྲེག
བྲེད བྲེད
བྲེས 0
བྲོ བྲོ
བྲོགས འབྲེག
བྲོད བྲོད
བྲོན 0
བྲོབས 0
བྲོས 0
བླག བླག
བླགས བླག
བླང ལེན
བླངས ལེན
བླད 0
བླུ 0
བླུག 0
བླུགས 0
བླུད 0
བླུས 0
བློག 0
བློགས བླག
བློད 0
དབག དབག
དབགས དབག
དབབ འབེབས
དབུག འབིག
དབུབ 0
དབུར དབུར
དབུལ 0
དབེན དབེན
དབོ འབོ
དབོག འབོགས
དབོར དབོར
དབོས དབོས
དབྱི འབྱིད
དབྱིས དབྱིས
དབྱུག 0
དབྱུགས 0
དབྱུང འབྱིན
དབྱུལ དབྱུལ
དབྱེ འབྱེད
དབྲད འབྲད
དབྲབ འབྲབ
དབྲལ 0
དབྲི འཕྲི
དབྲོག དབྲོག
དབྲོལ 0
འབག འབག
འབགས འབག
འབད འབད
འབབ འབབ
འབར འབར
འབལ འབལ
འབིག འབིག
འབིགས 0
འབུ འབུ
འབུག 0
འབུང 0
འབུངས 0
འབུད 0
འབུབས 0
འབུར འབུར
འབུལ 0
འབུས འབུ
འབེབས འབེབས
འབོ འབོ
འབོག 0
འབོགས 0
འབོད 0
འབོར 0
འབྱང འབྱང
འབྱམ འབྱམ
འབྱམས འབྱམ
འབྱར 0
འབྱི 0
འབྱིང འབྱིང
འབྱིད འབྱིད
འབྱིན འབྱིན
འབྱིབ 0
འབྱིལ འབྱིལ
འབྱུག 0
འབྱུང འབྱུང
འབྱེ འབྱེ
འབྱེད འབྱེད
འབྱེར 0
འབྱེས འབྱེས
འབྱོ 0
འབྱོག 0
འབྱོགས 0
འབྱོང 0
འབྱོངས 0
འབྱོན 0
འབྱོར 0
འབྱོལ 0
འབྲ འབྲ
འབྲང འབྲང
འབྲངས འབྲང
འབྲད འབྲད
འབྲན 0
འབྲབ འབྲབ
འབྲལ འབྲལ
འབྲི འབྲི
འབྲིད 0
འབྲིམ འབྲིམ
འབྲིམས འབྲིམ
འབྲུ 0
འབྲུད 0
འབྲུབ འབྲུབ
འབྲུལ འབྲུལ
འབྲེག འབྲེག
འབྲེལ འབྲེལ
འབྲོ འབྲོ
འབྲོང 0
འབྲོངས 0
འབྲོབ 0
འབྲོས 0
རྦད 0
རྦོ 0
རྦོད 0
རྦོས 0
ལྦོས 0
སྦ སྦེད
སྦག སྦག
སྦགས སྦག
སྦང སྦོང
སྦངས སྦོང
སྦམ སྦོམ
སྦམས སྦོམ
སྦར 0
སྦས སྦེད
སྦིར སྦིར
སྦུབ 0
སྦུབས 0
སྦེད སྦེད
སྦོ 0
སྦོགས སྦག
སྦོང སྦོང
སྦོངས སྦོང
སྦོམ སྦོམ
སྦོམས སྦོམ
སྦོར 0
སྦོས 0
སྦྱང སྦྱོང
སྦྱངས སྦྱོང
སྦྱར 0
སྦྱིག སྦྱིག
སྦྱིན 0
སྦྱོང སྦྱོང
སྦྱོངས སྦྱོང
སྦྱོར 0
སྦྲག སྦྲག
སྦྲགས སྦྲག
སྦྲད 0
སྦྲན 0
སྦྲིད སྦྲིད
སྦྲུ 0
སྦྲུད 0
སྦྲུམ སྦྲུམ
སྦྲུས 0
སྦྲེང 0
སྦྲེངས 0
སྦྲེབ སྦྲེབ
སྦྲེབས སྦྲེབ
སྦྲེལ སྦྲེལ
སྦྲོག སྦྲོག
སྦྲོགས སྦྲག
སྦྲོན 0
མིད མིད
མུག མུག
མུར མུར
མོལ མོལ
མོས མོས
མྱགས མྱགས
མྱང མྱོང
མྱངས མྱོང
མྱིད མྱིད
མྱུག མྱུག
མྱུགས མྱུག
མྱུལ མྱུལ
མྱོང མྱོང
མྱོངས མྱོང
མྱོས མྱོས
དམད 0
དམའ དམའ
དམར དམར
དམས དམའ
དམིགས དམིགས
དམུར དམུར
དམུལ དམུལ
དམུས དམུས
དམེ དམེ
དམེས དམེ
དམོད 0
དམོན 0
དམོར དམར
དམྱལ དམྱལ
དམྱུག 0
དམྱུགས 0
རྨད 0
རྨས 0
རྨི རྨི
རྨིས རྨི
རྨུག 0
རྨུགས 0
རྨུར རྨུར
རྨུས 0
རྨེ རྨེ
རྨེད 0
རྨེལ རྨེལ
རྨོ 0
རྨོངས རྨོངས
རྨོད 0
རྨོན 0
རྨོས 0
རྨྱ རྨྱ
རྨྱང རྨྱོང
རྨྱངས རྨྱོང
རྨྱས རྨྱ
རྨྱོང རྨྱོང
རྨྱོངས རྨྱོང
སྨད 0
སྨན སྨན
སྨིན སྨིན
སྨོད 0
སྨོན སྨོན
སྨོས 0
སྨྱང 0
སྨྱུགས སྨྱུགས
སྨྱུང 0
སྨྱུངས 0
སྨྱུར སྨྱུར
སྨྱོ སྨྱོ
སྨྱོས སྨྱོ
སྨྲ སྨྲ
སྨྲས སྨྲ
སྨྲེང སྨྲེང
སྨྲོས སྨྲ
གཙག 0
གཙགས གཙག
གཙབ གཙབ
གཙབས གཙབ
གཙི 0
གཙིག 0
གཙིགས 0
གཙིར 0
གཙིས 0
གཙུབ 0
གཙུབས 0
གཙེ 0
གཙེར གཙེར
གཙེས 0
གཙོག 0
གཙོགས གཙག
གཙོབས གཙབ
བཙག འཚག
བཙགས འཚག
བཙང འཚང
བཙངས འཚང
བཙབ 0
བཙབས 0
བཙའ བཙའ
བཙལ 0
བཙས བཙའ
བཙིར 0
བཙུགས འཛུགས
བཙུད འཛུད
བཙུམ 0
བཙུམས འཚུམ
བཙེམ འཚེམ
བཙེམས འཚེམ
བཙེས 0
བཙོ འཚོད
བཙོག འཚོག
བཙོགས 0
བཙོང འཚོང
བཙོངས འཚོང
བཙོས འཚོད
རྩི རྩི
རྩིག རྩིག
རྩིགས རྩིག
རྩིས རྩི
རྩེ རྩེ
རྩེག རྩེག
རྩེགས རྩེག
རྩེང རྩེང
རྩེངས རྩེང
རྩེན རྩེན
རྩེལ 0
རྩེས རྩེ
རྩོད 0
རྩོམ རྩོམ
རྩོམས རྩོམ
རྩོལ བརྩལ
སྩེལ སྩེལ
སྩོལ 0
བརྩད 0
བརྩམ རྩོམ
བརྩམས རྩོམ
བརྩལ བརྩལ
བརྩི རྩི
བརྩིག རྩིག
བརྩིགས རྩིག
བརྩིངས རྩེང
བརྩིས རྩི
བརྩེ 0
བརྩེག རྩེག
བརྩེགས རྩེག
བརྩེང རྩེང
བརྩེངས རྩེང
བརྩེས རྩེ
བརྩོན བརྩོན
བསྩགས 0
བསྩལ 0
ཚགས ཚགས
ཚང 0
ཚད ཚད
ཚར ཚར
ཚིག འཚིག
ཚིམ ཚིམ
ཚིམས ཚིམ
ཚིར 0
ཚུགས 0
ཚུད 0
ཚུམ གཟུམ
ཚུམས འཚུམ
ཚེམ 0
ཚེམས འཚེམ
ཚེས ཚེས
ཚོག 0
ཚོགས ཚོགས
ཚོངས 0
ཚོད ཚད
ཚོབས 0
ཚོམ ཚོམ
ཚོར ཚོར
ཚོལ བཙལ
ཚོས 0
མཚན མཚན
མཚོན མཚན
འཚག འཚག
འཚང འཚང
འཚངས འཚང
འཚབ འཚབ
འཚབས འཚབ
འཚམ འཚམ
འཚམས འཚམ
འཚར འཚར
འཚལ 0
འཚིག འཚིག
འཚིར 0
འཚུད འཚུད
འཚུབ འཚུབ
འཚུབས འཚུབ
འཚུམ 0
འཚེ འཚེ
འཚེག འཚེག
འཚེང འཚེང
འཚེངས འཚེང
འཚེད 0
འཚེམ འཚེམ
འཚེམས འཚེམས
འཚེར འཚེར
འཚེལ 0
འཚེས འཚེ
འཚོ 0
འཚོག 0
འཚོགས 0
འཚོང འཚོང
འཚོངས འཚང
འཚོད འཚོད
འཚོབ 0
འཚོབས འཚབ
འཚོལ 0
འཚོས 0
མཛད 0
མཛོད 0
འཛག འཛག
འཛགས 0
འཛད འཛད
འཛའ འཛའ
འཛར འཛར
འཛི འཛི
འཛིང 0
འཛིངས 0
འཛིན འཛིན
འཛིར འཛིར
འཛུགས འཛུགས
འཛུད འཛུད
འཛུམ འཛུམ
འཛུར འཛུར
འཛུལ འཛུལ
འཛེག འཛེག
འཛེགས འཛེག
འཛེད འཛེད
འཛེམ 0
འཛེམས 0
འཛེར 0
འཛོམ 0
འཛོམས 0
འཛོལ འཛོལ
རྫི རྫི
རྫིས རྫི
རྫུ རྫུ
རྫུས རྫུ
རྫེ རྫེ
རྫེས རྫེ
རྫོ རྫོ
རྫོག རྫོག
རྫོགས རྫོག
རྫོང རྫོང
རྫོངས རྫོང
རྫོད རྫོད
རྫོས རྫོ
བརྫང རྫོང
བརྫངས རྫོང
བརྫད རྫོད
བརྫས རྫོ
བརྫི རྫི
བརྫིས རྫི
བརྫུ རྫུ
བརྫུས རྫུ
བརྫེ རྫེ
བརྫེས རྫེ
བརྫོ རྫོ
བརྫོག རྫོག
བརྫོགས རྫོག
ཞ 0
ཞར ཞར
ཞལ ཞལ
ཞི ཞི
ཞིག འཇིག
ཞིབ ཞིབ
ཞིལ 0
ཞུ 0
ཞུགས 0
ཞུམ ཞུམ
ཞུས 0
ཞེད ཞེད
ཞེན ཞེན
ཞོག 0
ཞོགས ཞོགས
ཞོན 0
ཞོམ ཞོམ
ཞོས འཇོ
གཞག འཇོག
གཞབ 0
གཞའ གཞའ
གཞར 0
གཞལ འཇལ
གཞིག 0
གཞིགས 0
གཞིབ འཇིབ
གཞིབས 0
གཞིལ འཇིལ
གཞུ 0
གཞུག འཇུག
གཞུར 0
གཞུས 0
གཞེན གཞེན
གཞེར གཞེར
གཞེས གཞེས
གཞོག གཞོག
གཞོགས 0
གཞོབ 0
གཞོབས 0
གཞོམ འཇོམས
གཞོར གཞར
གཞོལ གཞོལ
གཞོས འཇོ
བཞག འཇོག
བཞགས བཞགས
བཞད བཞད
བཞབ 0
བཞམས བཞམས
བཞར 0
བཞིབ འཇིབ
བཞུ 0
བཞུགས བཞུགས
བཞུད བཞུད
བཞུར 0
བཞུས 0
བཞེངས བཞེངས
བཞེད བཞེད
བཞེན བཞེན
བཞེས བཞེས
བཞོ འཇོ
བཞོག གཞོག
བཞོན 0
བཞོར 0
བཞོལ བཞོལ
བཞོས འཇོ
ཟ ཟ
ཟག ཟག
ཟགས 0
ཟད འཛད
ཟིན ཟིན
ཟུག ཟུག
ཟུང འཛིན
ཟུངས འཛིན
ཟུད བཙུད
ཟུམ ཟུམ
ཟུར འཛུར
ཟེགས ཟེགས
ཟེད 0
ཟེམ 0
ཟེར ཟེར
ཟོ ཟ
ཟོས 0
ཟླུག ཟླུག
ཟླུགས ཟླུག
ཟླུམ ཟླུམ
ཟླུམས ཟླུམ
ཟློ 0
ཟློག ཟློག
ཟློགས ཟློག
ཟློས 0
གཟག གཟག
གཟགས གཟག
གཟན གཟན
གཟབ གཟབ
གཟར 0
གཟས གཟས
གཟིགས གཟིགས
གཟིང 0
གཟིམ 0
གཟིམས 0
གཟིར གཟིར
གཟུགས འཛུགས
གཟུང འཛིན
གཟུད འཛུད
གཟུམ གཟུམ
གཟུར འཛུར
གཟེག གཟེག
གཟེང གཟེང
གཟེངས གཟེང
གཟེད འཛེད
གཟེམ 0
གཟེར 0
གཟོ 0
གཟོགས གཟག
གཟོན གཟན
གཟོབ 0
གཟོབས གཟབ
གཟོར གཟར
གཟོས 0
བཟབ གཟབ
བཟབས གཟབ
བཟའ ཟ
བཟར འཛར
བཟས ཟ
བཟི བཟི
བཟུང འཛིན
བཟུར འཛུར
བཟེག 0
བཟེད འཛེད
བཟོ 0
བཟོད བཟོད
བཟོས 0
བཟླ ཟློ
བཟླས ཟློ
བཟླུག ཟླུག
བཟླུགས ཟླུག
བཟླུམ ཟླུམ
བཟླུམས ཟླུམ
བཟློ 0
བཟློག ཟློག
བཟློགས ཟློག
འབ འབ
འོང འོང
འོངས འོང
འོན འོན
ཡན ཡན
ཡར ཡར
ཡལ ཡལ
ཡིབ 0
ཡིབས 0
ཡུར ཡུར
ཡེར ཡེར
ཡེལ 0
ཡོ ཡོ
ཡོག ཡོག
ཡོགས ཡོག
ཡོང ཡོང
ཡོལ ཡོལ
གཡབ 0
གཡབས 0
གཡར གཡར
གཡལ གཡལ
གཡིག གཡིག
གཡིགས གཡིག
གཡུག 0
གཡུགས 0
གཡུར གཡུར
གཡེང 0
གཡེངས 0
གཡེམ གཡེམ
གཡེལ གཡེལ
གཡོ 0
གཡོག 0
གཡོགས 0
གཡོབ 0
གཡོབས 0
གཡོར གཡར
གཡོས 0
རག རག
རངས རངས
རན རན
རལ རལ
རིག རིག
རིད རིད
རིལ རིལ
རུད རུད
རུབ རུབ
རུབས རུབ
རུམ རུམ
རུལ རུལ
རེ རེ
རེག རེག
རེད རེད
རེམ རེམ
རོལ རོལ
རླག 0
རླིང རླིང
རླིངས རླིང
རླུག རླུགས
རླུགས རླུགས
རློ རློ
རློག 0
རློགས 0
རློང རློང
རློངས རློང
རློན 0
རློབ 0
རློབས 0
རློམ རློམ
རློམས རློམ
རློས རློ
བརླག 0
བརླགས 0
བརླན 0
བརླབ རློབ
བརླབས རློབ
བརླམ རློམ
བརླམས རློམ
བརླིང 0
བརླིངས རླིང
བརློང རློང
བརློངས རློང
ལང ལང
ལངས 0
ལད ལད
ལབ ལབ
ལས ལས
ལུ 0
ལུག 0
ལུགས 0
ལུད ལུད
ལུས 0
ལེན ལེན
ལོག ལོག
ལོང ལོང
ལོངས 0
ལོན ལོན
ལོབ 0
ལོབས ལོབ
ལོས ལས
ཤན ཤན
ཤབ ཤབ
ཤབས ཤབ
ཤར འཆར
ཤི འཆི
ཤིག 0
ཤིགས ཤིག
ཤིང ཤིང
ཤིས ཤིས
ཤུག ཤུག
ཤུགས ཤུག
ཤུངས གཤུང
ཤུད 0
ཤུབ ཤུབ
ཤུབས ཤུབ
ཤུམ 0
ཤུམས 0
ཤུར 0
ཤུས བཤུ
ཤེར 0
ཤེས ཤེས
ཤོ ཤོ
ཤོག ཤོག
ཤོགས འཆགས
ཤོང ཤོང
ཤོངས གཤོང
ཤོད 0
ཤོབས ཤབ
ཤོམ 0
ཤོམས གཤོམ
ཤོར འཆོར
ཤོལ བཤལ
ཤོས གཤོ
གཤག གཤོག
གཤགས 0
གཤར གཤར
གཤལ 0
གཤིབ 0
གཤིབས 0
གཤུ གཤུ
གཤུང གཤུང
གཤུད 0
གཤུམ 0
གཤུར 0
གཤེ 0
གཤེགས གཤེགས
གཤེར 0
གཤེས 0
གཤོ 0
གཤོག གཤོག
གཤོགས གཤོག
གཤོང གཤོང
གཤོངས གཤོང
གཤོམ གཤོམ
གཤོར 0
གཤོལ གཤོལ
གཤོས 0
བཤག 0
བཤགས 0
བཤང གཤོང
བཤངས གཤོང
བཤད 0
བཤམ གཤོམ
བཤམས 0
བཤའ བཤའ
བཤར 0
བཤལ བཤལ
བཤས བཤའ
བཤིག 0
བཤིགས ཤིག
བཤིབ བཤིབ
བཤིབས བཤིབས
བཤུ 0
བཤུག ཤུག
བཤུགས ཤུག
བཤུང གཤུང
བཤུངས གཤུང
བཤུད 0
བཤུབ ཤུབ
བཤུབས ཤུབ
བཤུམ 0
བཤུམས ཤུམ
བཤུར 0
བཤུས 0
བཤེད བཤེད
བཤེར 0
བཤོ 0
བཤོགས 0
བཤོར 0
བཤོལ བཤོལ
བཤོས 0
སངས སངས
སད སད
སིགས གསིག
སིམ སིམ
སུན 0
སུབ སུབ
སུབས སུབ
སུམ སུམ
སུམས སུམ
སུས བསུ
སེག སེག
སེང སེང
སེད གསེད
སེམས སེམས
སེར སེར
སེལ 0
སོགས གསོག
སོང 0
སོངས བསང
སོད གསོད
སོན སོན
སོབས གསོབ
སོམས སེམས
སོལ 0
སོས 0
སྲད 0
སྲན 0
སྲབ སྲབ
སྲི སྲི
སྲིང སྲིང
སྲིངས སྲིང
སྲིབ 0
སྲིབས 0
སྲིས སྲི
སྲུང སྲུང
སྲུངས སྲུང
སྲུན 0
སྲུབ སྲུབ
སྲུབས སྲུབ
སྲུལ 0
སྲེ སྲེ
སྲེག སྲེག
སྲེགས སྲེག
སྲེད སྲེད
སྲེལ 0
སྲེས སྲེ
སྲོ སྲོ
སྲོགས སྲེག
སྲོང སྲོང
སྲོངས སྲོང
སྲོད 0
སྲོན 0
སྲོས སྲོ
སླུ སླུ
སླུས སླུ
སླེ སླེ
སླེབ སླེབ
སླེབས སླེབ
སླེས སླེ
སློག སློག
སློགས སློག
སློང སློང
སློངས སློང
སློད 0
སློན 0
སློབ སློབ
